new_user_id,original_user_id,new_exer_id,original_exer_id,new_knowledge_code,original_knowledge_code
1,28934310,1,696299,1,36
2,2025110000,2,696300,2,43
3,2025110001,3,696301,3,215
4,2025110002,4,696302,4,260
5,2025110003,5,696303,5,358
6,2025110004,6,696304,6,541
7,2025110005,7,696305,7,590
8,2025110006,8,696306,8,711
9,2025110007,9,696307,9,712
10,2025110008,10,696308,10,724
11,2025110009,11,696309,11,735
12,2025110010,12,696310,12,760
13,2025110011,13,696311,13,813
14,2025110012,14,696312,14,875
15,2025110013,15,696313,15,929
16,2025110014,16,696314,16,930
17,2025110015,17,696315,17,1105
18,2025110016,18,696316,18,1199
19,2025110017,19,696317,19,1242
20,2025110018,20,696318,20,1308
21,2025110019,21,696319,21,1371
22,2025110020,22,696320,22,1441
23,2025110021,23,696321,23,1476
24,2025110022,24,696322,24,1511
25,2025110023,25,696323,25,1660
26,2025110024,26,696324,26,1853
27,2025110025,27,696325,27,1854
28,2025110026,28,696326,28,1895
29,2025110027,29,696327,29,1938
30,2025110028,30,696328,30,2011
31,2025110029,31,696329,31,2044
32,2025113042,32,696330,32,2079
33,2025113043,33,696331,33,2147
34,2025113044,34,696332,34,2188
35,2025113045,35,696333,35,2261
36,2025113046,36,696334,36,2267
37,2025113047,37,696335,37,2289
38,238139,38,696336,38,2365
,,39,696337,39,2456
,,40,696338,40,2478
,,41,696339,41,2670
,,42,696340,42,2700
,,43,696341,43,2727
,,44,696342,44,2730
,,45,696343,45,2765
,,46,696344,46,3037
,,47,696345,47,3081
,,48,696346,48,3150
,,49,696347,49,3211
,,50,696348,50,3324
,,51,696349,51,3360
,,52,696350,52,3419
,,53,696351,53,3694
,,54,696352,54,3707
,,55,696353,55,3807
,,56,696354,56,3813
,,57,696355,57,3867
,,58,696356,58,3869
,,59,696357,59,3879
,,60,696358,60,3885
,,61,696359,61,3940
,,62,696360,62,3956
,,63,696361,63,3992
,,64,696362,64,4175
,,65,696363,65,4243
,,66,696364,66,4310
,,67,696365,67,4346
,,68,696366,68,4402
,,69,696367,69,4449
,,70,696368,70,4626
,,71,696369,71,4714
,,72,696370,72,4761
,,73,696371,73,4788
,,74,696372,74,4790
,,75,696373,75,4860
,,76,696374,76,4954
,,77,696375,77,5015
,,78,696376,78,5108
,,79,696377,79,5131
,,80,696378,80,5140
,,81,696379,81,5244
,,82,696380,82,5259
,,83,696381,83,5270
,,84,696382,84,5333
,,85,696383,85,5437
,,86,696384,86,5476
,,87,696385,87,5529
,,88,696386,88,5568
,,89,696387,89,5580
,,90,696388,90,5602
,,91,696389,91,5645
,,92,696390,92,5660
,,93,696391,93,5697
,,94,696392,94,5769
,,95,696393,95,5783
,,96,696394,96,5809
,,97,696395,97,5932
,,98,696396,98,5934
,,99,696397,99,5968
,,100,696398,100,5977
,,101,696399,101,6019
,,102,696400,102,6024
,,103,696401,103,6135
,,104,696402,104,6332
,,105,696403,105,6356
,,106,696404,106,6486
,,107,696405,107,6853
,,108,696406,108,7008
,,109,696407,109,7106
,,110,696408,110,7108
,,111,696409,111,7150
,,112,696410,112,7188
,,113,696411,113,7197
,,114,696412,114,7264
,,115,696413,115,7393
,,116,696414,116,7416
,,117,696415,117,7451
,,118,696416,118,7482
,,119,696417,119,7511
,,120,696418,120,7534
,,121,696419,121,7599
,,122,696420,122,7637
,,123,696421,123,7690
,,124,696422,124,7825
,,125,696423,125,7840
,,126,696424,126,7934
,,127,696425,127,7936
,,128,2025112146,128,7971
,,129,2025112147,129,8013
,,130,2025112148,130,8047
,,131,2025112149,131,8095
,,132,2025112150,132,8109
,,133,2025112151,133,8287
,,134,2025112152,134,8527
,,135,2025112153,135,8567
,,136,2025112154,136,8597
,,137,2025112155,137,8732
,,138,2025112156,138,8750
,,139,2025112157,139,8842
,,140,2025112158,140,8919
,,141,2025112159,141,9013
,,142,2025112160,142,9089
,,143,2025112161,143,9116
,,144,2025112162,144,9194
,,145,2025112163,145,9206
,,146,2025112164,146,9250
,,147,2025112165,147,9295
,,148,2025112166,148,9323
,,149,2025112167,149,9373
,,150,2025112168,150,9413
,,151,2025112169,151,9451
,,152,2025112170,152,9542
,,153,2025112171,153,9613
,,154,2025112172,154,9625
,,155,2025112173,155,9698
,,156,2025112174,156,9741
,,157,2025112175,157,9742
,,158,2025112176,158,9805
,,159,2025112177,159,9810
,,160,2025112178,160,10093
,,161,2025112179,161,10153
,,162,2025112180,162,10235
,,163,2025112181,163,10238
,,164,2025112182,164,10241
,,165,2025112183,165,10286
,,166,2025112184,166,10306
,,167,2025112185,167,10395
,,168,2025112186,168,10442
,,169,2025112187,169,10475
,,170,2025112188,170,10482
,,171,2025112189,171,10505
,,172,2025112190,172,10508
,,173,2025112191,,
,,174,2025112192,,
,,175,2025112193,,
,,176,2025112194,,
,,177,2025112195,,
,,178,2025112196,,
,,179,2025112197,,
,,180,2025112198,,
,,181,2025112199,,
,,182,2025112200,,
,,183,2025112201,,
,,184,2025112202,,
,,185,2025112203,,
,,186,2025112204,,
,,187,2025112205,,
,,188,2025112206,,
,,189,2025112207,,
,,190,2025112208,,
,,191,2025112209,,
,,192,2025112210,,
,,193,2025112211,,
,,194,2025112212,,
,,195,2025112213,,
,,196,2025112214,,
,,197,2025112215,,
,,198,2025112216,,
,,199,2025112217,,
,,200,2025112218,,
,,201,2025112219,,
,,202,2025112220,,
,,203,2025112221,,
,,204,2025112222,,
,,205,2025112223,,
,,206,2025112224,,
,,207,2025112225,,
,,208,2025112226,,
,,209,2025112227,,
,,210,2025112228,,
,,211,2025112229,,
,,212,2025112230,,
,,213,2025112231,,
,,214,2025112232,,
,,215,2025112233,,
,,216,2025112234,,
,,217,2025112235,,
,,218,2025112236,,
,,219,2025112237,,
,,220,2025112238,,
,,221,2025112239,,
,,222,2025112240,,
,,223,2025112241,,
,,224,2025112242,,
,,225,2025112243,,
,,226,2025112244,,
,,227,2025112245,,
,,228,2025112246,,
,,229,2025112247,,
